name,address,location,type,tel,cost,rating,opentime_today,opentime_week,tag
巴蜀鱼花(南大店),湖南路街道汉口路30号,"118.779220,32.053685",餐饮服务;中餐厅;火锅店,15380870767,,4.4,09:00-21:00,周一至周日 09:00-21:00,
陕老顺肉夹馍,汉口路30号,"118.779105,32.053716",餐饮服务;餐饮相关场所;餐饮相关,15924140124,,4.4,10:00-21:00,周一至周日 10:00-21:00,肉夹馍
同廣鸣港式烧腊(南京大学店),汉口路47-2号,"118.779262,32.053522",餐饮服务;中餐厅;中餐厅,13305154735,,4.4,10:00-22:00,周一至周日 10:00-22:00,港式烧腊
鱼塘鲜专业鱼馆(汉口路店),华侨路街道汉口路32号,"118.778987,32.053660",餐饮服务;中餐厅;海鲜酒楼,18951000166,66,4.4,09:00-21:30,周一至周日 09:00-21:30,
西安特色面馆(汉口路店),汉口路47号01幢一楼,"118.779220,32.053475",餐饮服务;中餐厅;中餐厅,18114808698,13,4,07:20-21:30,每天07:20-21:30,肉夹馍
荆州锅盔(汉口路小区店),汉口路47号汉口路小区,"118.779209,32.053463",餐饮服务;餐饮相关场所;餐饮相关,13182947373;18651699663,5,4.4,,,
兰州拉面刀削面(汉口路店),汉口路36号,"118.778811,32.053679",餐饮服务;中餐厅;清真菜馆,17327791285,21,4.5,09:00-21:00,周一至周日 09:00-21:00,"牛肉,烤串,拉面,牛肉拉面,炒面,羊肉串,刀削面"
张亮麻辣烫(南大店),汉口路36-1号,"118.778807,32.053661",餐饮服务;中餐厅;中餐厅,15139574656;18550102762,28,4.4,09:30-22:00,周一至周日 09:30-22:00,
老王馄饨,汉口路32号,"118.778807,32.053661",餐饮服务;中餐厅;中餐厅,,9,4.3,06:30-20:30,周一至周日 06:30-20:30,
石锅房,汉口路32号,"118.778807,32.053661",餐饮服务;外国餐厅;韩国料理,13851543821,13,4.3,09:00-22:00,周一至周日 09:00-22:00,"滑鸡石锅拌饭,豆腐汤,牛肉石锅饭,五花肉套餐,炸酱面,素菜石锅拌饭,牛肉石锅,金枪鱼石锅饭,炒金指年糕,炒年糕拉面,滑鸡石锅,培根石锅,嫩豆腐汤,辛拉面,炒年糕,水煮花生,石锅拌饭"
阿蛮菜煎饼卷饼(汉口路小区店),汉口路47号-6号,"118.779041,32.053444",餐饮服务;餐饮相关场所;餐饮相关,13770721516,,3.8,07:30-21:00,周一至周日 07:30-21:00,菜煎饼
筷尚客大食堂,汉口路38号(近南京大学),"118.778668,32.053664",餐饮服务;中餐厅;中餐厅,13601586608;13951688092,,3.9,,,
家天下菜煎饼(汉口路小区店),汉口路47号南京大学好又多超市旁边,"118.778960,32.053435",餐饮服务;餐饮相关场所;餐饮相关,,10,4.1,,,菜煎饼
膳当家黄焖鸡米饭(汉口路店),汉口路38号,"118.778647,32.053664",餐饮服务;中餐厅;中餐厅,13851644907;15305150776,19,4.4,09:00-21:00,周一至周日 09:00-21:00,鸡肉
春水塘土菜馆(汉口路店),汉口路40-5号,"118.778359,32.053978",餐饮服务;中餐厅;中餐厅,025-58075395;18260411172,40,4.4,09:00-21:30,周一至周日 09:00-21:30,"鸡蛋炒饭,招牌酸菜鱼,水煮鱼片,鱼香肉丝,酸菜烧鸡,家常豆腐,黄瓜炒鸡蛋,酸汤肥牛鱼,鱼香茄子,特色肥肠鱼,烤鱼,糖醋里脊,炒空心菜,素菜"
福桔家庭厨房,汉口路42号,"118.778479,32.053663",餐饮服务;中餐厅;中餐厅,19961882001,,4.7,11:00-13:30 17:00-20:30,"周日 11:00-14:30,17:00-20:30；周六 11:00-20:30；周一至周五 11:00-13:30,17:00-20:30","寿喜锅,糖醋排骨"
沙县小吃(汉口路店),汉口路73号,"118.778214,32.053989",餐饮服务;中餐厅;特色/地方风味餐厅,18752023233;19941534156,13,4.4,10:00-21:00,周一至周日 10:00-21:00,
慢慢早,汉口路61号,"118.778448,32.053447",餐饮服务;中餐厅;中餐厅,17721540091,,4.1,08:00-21:00,周一至周日 08:00-21:00,
金麦笼大包坊(汉口路店),汉口路48-1号东单元102室,"118.778042,32.053993",餐饮服务;餐饮相关场所;餐饮相关,13611595941;15996222776,4,4.4,08:00-20:00,周一至周日 08:00-20:00,"菜包,鸡肉包,豆腐包,粉丝包,牛肉包,豆沙包,茶叶蛋,牛肉粉丝,三丁包,大包"
韩师傅烤冷面&炸串,汉口路61-9号,"118.778297,32.053362",餐饮服务;中餐厅;中餐厅,13851895307;18020116428,,3.9,10:30-24:00,周一至周日 10:30-24:00,"炸串,烤冷面"
四川宜宾燃面,汉口路48号,"118.777909,32.053999",餐饮服务;中餐厅;四川菜(川菜),13072527682;17326125923,22,4.7,09:00-20:30,周一至周日 09:00-20:30,
新疆玉石买买提烧烤(爱德基金会店),爱德基金会东门旁,"118.778046,32.053583",购物服务;专卖店;珠宝首饰工艺品,,47,3.8,,,
jackob嘉珂舶清真餐厅(汉口路店),"汉口路61号(青岛路与汉口路交界,青岛路苏果超市对面)","118.778262,32.053192",餐饮服务;外国餐厅;西餐厅(综合风味),025-86521668;13337812992,52,4.4,10:30-24:00,周一至周日 10:30-24:00,
火山口川味排档,青岛路33-5号,"118.778160,32.053066",餐饮服务;中餐厅;四川菜(川菜),18115644733,,4.7,11:00-22:00,周一至周日 11:00-22:00,"辣子鸡,酸菜鱼,自贡菜,鸭头,土豆丝,麻婆豆腐"
南芳园,汉口路22号南京大学鼓楼校区南芳苑3层,"118.780616,32.052592",餐饮服务;中餐厅;中餐厅,025-83593385;025-83594446,58,4,08:30-20:00,周一至周日 08:30-20:00,
食壹咖喱,"青岛路6-1号(华达宾馆对面,近南京大学)","118.778339,32.052775",餐饮服务;中餐厅;中餐厅,13851573537;13951818417,30,4.1,11:00-14:00 17:00-20:00,"周一至周六 11:00-14:00,17:00-20:00","芝士咖喱牛肉蛋包饭,芝士咖喱鸡肉蛋包饭,蛋包饭,奥尔良烤鸡腿咖喱蛋包饭,芝士烤土豆,培根咖喱蛋包饭,奶香玉米派,水果沙拉,鳕鱼排蛋包饭,冰火菠萝包,天妇罗咖喱饭,芝士咖喱鸡肉蛋包,芝士咖喱牛肉蛋包,牛排,鸡茸玉米汤"
美鸽记·中山石岐乳鸽,青岛路33-3号,"118.778138,32.052878",餐饮服务;中餐厅;中餐厅,18752079369,,4.6,10:00-14:00 16:00-22:00,周一至周日 10:00-14:00，16:00-22:00,红米肠
涵洁地锅,青岛路33-6号,"118.778149,32.052856",餐饮服务;中餐厅;中餐厅,13851786544,53,4.3,08:00-22:30,周一至周日 08:00-22:30,地锅鸡
安庆馄饨店(青岛路10号院店),青岛路8号,"118.778356,32.052708",餐饮服务;中餐厅;特色/地方风味餐厅,18912930685,9,4,06:30-20:00,周一至周日 06:30-20:00,
陈记六合猪头肉,青岛路2号小区西2门旁,"118.778355,32.052525",餐饮服务;中餐厅;中餐厅,,,4.2,,,
箪食记(汉口路店),汉口路75-2号,"118.777185,32.053960",餐饮服务;中餐厅;中餐厅,13951883009;15651837225,31,4.2,,周一至周六 09:00-20:00,
福·烧鸟酒场(陶谷新村店),陶谷新村与平仓巷交叉口西100米,"118.777175,32.053960",餐饮服务;外国餐厅;日本料理,,,4.1,09:00-21:00,周一至周日 09:00-21:00,烧鸟
人全到饭店(青岛路店),青岛路2-16号,"118.778235,32.052144",餐饮服务;中餐厅;四川菜(川菜),025-83372086;13675117296,63,4.3,10:00-22:00,周一至周日 10:00-22:00,"八爪鱼烧茄子,黄花菜烧肉圆,铁板虾,皮蛋,丝瓜毛豆,凉拌黄瓜,椒盐牛蛙,茄子,粉皮"
金良酸菜鱼(青岛路店),青岛路31号,"118.778342,32.051999",餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;四川菜(川菜),15365102217,41,4.2,09:00-22:00,周一至周日 09:00-22:00,
小田园(青岛路2号小区店),青岛路2-15号,"118.778348,32.051931",餐饮服务;餐饮相关场所;餐饮相关,13813882317,,4.3,10:00-22:00,周一至周日 10:00-22:00,
满江红餐厅(新纪元大酒店店),中山路251-1号新纪元大酒店1楼(近地铁大厦),"118.782845,32.053761",餐饮服务;中餐厅;中餐厅,025-86812222,95,4.5,10:00-21:00,周一至周日 10:00-21:00,"狮子头,回鱼水饺,纪元龙虾,丁香排骨,熟淹河虾,淮安软兜,鱼汤小刀面,酸菜鱼,龙虾,野菌汤,牛柳,鲍汁捞饭,大煮干丝,南瓜扣糯米,酱排骨"
同堂韩国料理(南大店),青岛路2-14号,"118.778468,32.051751",餐饮服务;外国餐厅;韩国料理,13951612449,43,4.2,09:30-21:30,周一至周日 09:30-21:30,"嫩豆腐汤,蔬石锅拌饭,烤五花肉,炒夹心年糕,海鲜饼,部队火锅,烤土豆,炒杂菜,餐前小菜,土豆饼,韩式拌饭,韩式大酱汤,冷面,酱牛肉,大酱泡菜饼,石锅拌饭,韩国料理,辛拉面,海鲜面,小火锅,泡菜"
鸭得堡老鸭汤鸭血粉丝(南京鼓楼医院店),天津路与汉口路交叉口北100米,"118.783043,32.054800",餐饮服务;中餐厅;中餐厅,,,3.9,,,
南京大学(鼓楼校区)食堂,汉口路22号南京大学鼓楼校区南园(近广州路),"118.781022,32.051694",餐饮服务;中餐厅;中餐厅,17368712592,13,4.2,08:00-20:30,周一至周日 08:00-20:30,
南京大学鼓楼校区第二学生餐厅,汉口路22号南京大学鼓楼校区交响乐团附近,"118.781121,32.051500",餐饮服务;中餐厅;中餐厅,,13,4.1,,,
