name,dp_cost,dp_rating,dp_taste_rating,dp_env_rating,dp_service_rating,dp_comment_num,dp_recommendation_dish,dp_comment_keywords,dp_top3_comments,address,location,type,tel,cost,rating,opentime_today,opentime_week,tag
巴蜀鱼花(南大店),65.0,4.6,4.6,4.5,4.6,252.0,"巴蜀麻辣黑鱼花,渣渣土豆,甜蜜小冰粉,红糖糍粑,巴蜀藤椒黑鱼花,巴蜀酸菜黑鱼花,小炒黄牛肉,辣子鸡丁,巴蜀葱香黑鱼花,麻辣蹄花","{""服务热情: 59"", ""味道赞: 57"", ""肉类好: 28"", ""菜品不错: 21"", ""海鲜棒: 10"", ""上菜快: 8"", ""主食赞: 8"", ""不用排队: 4"", ""朋友聚餐: 5"", ""约会圣地: 2""}","[(""2025-05-23"", ""点了招牌麻辣黑鱼花 鱼香肉丝 还有一份西红柿滑肉汤 中午吃饭的人还挺多 服务员感觉就是老板和老板娘两人 招牌黑鱼花确实很不错 鱼肉很嫩 个别别的有些小刺 底下铺的土豆片和莴笋片 —— 等的好吃 鱼香肉丝算是地道做法了 没有笋丝木耳胡萝卜这些 就是豆掰酱葱和肉丝 完美鱼香甜口 这道菜绝了 西红柿滑肉汤差评 甚至没放盐 滑肉也不鲜嫩 肉腥味大 木薯粉裹的太厚 汤里西红柿味道也不浓郁 虽然一锅看着红彤彤的 建议店家更新菜单 把这道菜替换为番茄小肉圆汤 放点木耳丝 金针菇丝 撒点葱花 丰富口感 「巴蜀麻辣黑鱼花」「鱼香肉丝」味道老灵了 推荐：巴蜀麻辣黑鱼花 鱼香肉丝""), (""2025-05-23"", ""今天和朋友在曾经熟悉的南京大学门口逛吃，正门边上的巴蜀鱼花吸引了我们，店在二楼，不大，基本都是条桌，主营川味鱼。点了套餐，含冰粉，土豆，红糖粑粑，川味小吃，除了土豆有点咸，其它都挺好的。鱼我们点了一份，不够，又点了一份""), (""2025-05-21"", ""在南大汉口路门口的小店，周末上完课跟同学过来。「巴蜀麻辣黑鱼花」推荐，招牌菜了，必点。「渣渣土豆」这个也是必点，好吃的。「红糖粑粑」「甜蜜小冰粉」算是小吃吧，都挺好的。「蛋黄豆腐」这个不辣，不能吃辣的放心点。小酥肉和毛血旺也不错。... 推荐：巴蜀麻辣黑鱼花 渣渣土豆"")]",湖南路街道汉口路30号,"118.779220,32.053685",餐饮服务;中餐厅;火锅店,15380870767,,4.4,09:00-21:00,周一至周日 09:00-21:00,
陕老顺肉夹馍,20.0,3.4,3.4,3.6,3.5,54.0,"招牌油泼面,岐山臊子面,纯瘦肉夹馍,麻酱凉皮,biangbiang 面,番茄鸡蛋面,牛肉牛筋面,鸡腿,酸辣砂锅米线,青椒肉夹馍","{""味道赞: 12"", ""口感赞: 4"", ""空间大: 3"", ""服务热情: 3"", ""干净整洁: 3"", ""肉夹馍: 20"", ""午餐: 7"", ""工作餐: 3"", ""分量少: 4""}","[(""2025-04-21"", ""面香不够，辣油也不辣不香，整体没有油泼的质感，牛肉倒挺香，收银员不够热情，一直挂着脸，作为一个面馆，桌上不放纸巾不太好，还有就是加面条竟然还额外收费，这点不太友好，环境还行，收拾很干净 推荐：招牌油泼面""), (""2025-04-03"", ""出乎意料的精致！看起来就很有食欲，并且用料很丰富，口感不错好评！很好吃，口感很细腻，和图片上描述一致，非常好，我很喜欢 简直是宝藏，太好吃了，给的量也太足了！一周两次都吃不过。特别是凉皮，吃着很好吃""), (""2025-02-10"", ""因为就在学校旁边，经常过去吃，我比较喜欢吃他们家的凉皮 + 肉夹馍的组合，她家肉夹馍不腻，很香，凉皮很爽口。同学比较喜欢吃他们家的砂锅，味道也很不错，还有西红柿鸡蛋面也是我们比较常吃的，这家店还是比较推荐的。 推荐：纯瘦肉夹馍 酸辣砂锅米线 麻酱凉皮 番茄鸡蛋面 青椒肉夹馍"")]",汉口路30号,"118.779105,32.053716",餐饮服务;餐饮相关场所;餐饮相关,15924140124,,4.4,10:00-21:00,周一至周日 10:00-21:00,肉夹馍
同廣鸣港式烧腊(南京大学店),25.0,3.5,3.5,3.7,3.6,34.0,"自选双拼饭,白灼青菜,深井烧鵝,蜜汁叉烧饭,鹅翅,白切鸡,深井烧鹅饭,蜜汁叉烧,香港油鸡饭,澳门烧肉饭","{""味道赞: 6"", ""性价比高: 6"", ""服务热情: 3"", ""环境一般: 3"", ""午餐: 3""}","[(""2025-05-22"", ""只能说这烧腊的味道在两广开店活不过一个月，骗骗南京人罢了""), (""2025-05-22"", ""这家港式腊烧店开在南大鼓楼校区门口的汉口路上，距离南京大学很近，来这边吃饭的以学生居多，到了饭店人挺多的。口味：点了他们家的三拼腊烧饭，叉烧，烧鸭，白斩鸡，叉烧：鲜嫩多汁，微微带点甜，非常好吃，烧鸭：经典的广式烧鸭，味道也不错，白斩鸡：白斩鸡味道有点淡，并不是我想象中的白斩鸡，鸡肉还可以，所有的配菜都是现切现剁的，还是很新鲜的...""), (""2025-05-18"", ""南大门口，门头不大，口味很好，份量很足，服务很好。"")]",汉口路47-2号,"118.779262,32.053522",餐饮服务;中餐厅;中餐厅,13305154735,,4.4,10:00-22:00,周一至周日 10:00-22:00,港式烧腊
鱼塘鲜专业鱼馆(汉口路店),63.0,3.9,3.9,3.7,3.7,410.0,"酸菜黑鱼,美味番茄黑鱼,藤椒鱼,酸汤肥牛,韭菜炒鸡蛋,招牌鱼,激情椒麻黑鱼,京酱肉丝,手拍黄瓜","{""味道赞: 92"", ""肉嫩: 60"", ""肉类好: 52"", ""菜品不错: 26"", ""海鲜棒: 21"", ""分量足: 8"", ""上菜快: 4"", ""朋友聚餐: 5"", ""现做现卖: 4"", ""店内消毒: 3""}","[(""2025-05-01"", ""常和朋友来这吃，味道还行，性价比可以。这次的回锅肉口感没有上次好，煸的不够干，软塌塌的，味道还可以。蒜泥空心菜味道也还行，但是希望以后炒菜拌拌匀，这次吃到没化的盐块了。其他都还可以，值得一试。嗯嗯嗯嗯嗯嗯嗯嗯""), (""2025-05-01"", ""味道不错，价格实惠，有很多学生去吃""), (""2025-04-19"", ""晚上在南大附近和朋友一起，大多门店都关门了，这家店倒是还有不少人在吃饭，就选了这家体验下。口味：菜品分量很大，口味中规中矩。[薄荷] 环境：环境一般，属于典型的大学附近的餐饮店，看着就是经济型。[性价比]：毕竟主要消费群体是学生，整体来看性价比蛮高 推荐：酸菜黑鱼"")]",华侨路街道汉口路32号,"118.778987,32.053660",餐饮服务;中餐厅;海鲜酒楼,18951000166,66.0,4.4,09:00-21:30,周一至周日 09:00-21:30,
西安特色面馆(汉口路店),20.0,3.7,3.7,3.7,3.7,130.0,"油泼面,臊子干拌面,肉夹馍,西红柿鸡蛋盖浇饭,腊汁肉干拌面,三鲜瓦罐面,陕西烩面片,西安烩麻食,羊肉炒面,三鲜炒面","{""味道赞: 23"", ""口感赞: 11"", ""主食赞: 9"", ""性价比高: 9"", ""菜品不错: 4"", ""肉夹馍: 17"", ""羊肉: 14"", ""午餐: 12"", ""弄堂小店: 3"", ""分量少: 3""}","[(""2025-05-12"", ""学校边的面馆，番茄鸡蛋面挺好吃。其他吃的比较少""), (""2025-04-12"", ""晚上 9 点，店内没几个人，点了个肉夹馍，然后就坐在那里，等了十五分钟居然都没做好。后来点的炒面都上桌后，实在忍不住问一下我的馍做好了吗，才开始给我弄。不到半分钟的事居然点了餐后就没人问了，也不是忙的时候，这样的服务也是头次见。再说下肉夹馍也是吃过的最难吃的。""), (""2025-04-10"", ""喜欢吃油泼面的可以试试西安那边的特色小吃，价格适中"")]",汉口路47号01幢一楼,"118.779220,32.053475",餐饮服务;中餐厅;中餐厅,18114808698,13.0,4.0,07:20-21:30,每天07:20-21:30,肉夹馍
荆州锅盔(汉口路小区店),6.0,3.7,3.6,3.6,3.7,59.0,"梅干菜,烤面筋,瘦肉锅盔,怪味锅盔,牛肉锅盔,烧饼","{""味道赞: 9"", ""服务热情: 5"", ""性价比高: 4"", ""口感赞: 4"", ""价格实惠: 3"", ""午餐: 3"", ""空间小: 3""}","[(""2025-05-03"", ""锅盔香脆，有好几种味道，好吃耶""), (""2025-04-01"", ""特意来买他家的烧饼，有次同事带过一次吃完难忘。后来点了外卖就不好吃了，还是现买口味好，但找了很久来回几次才找到，实在太不显眼了。这次换了个口味，感觉还是第一次好吃，买完去隔壁吃烧烤。一条街都是餐厅选择很多很方便""), (""2024-09-22"", ""刚开始去到南大，在周边闲逛的时候发现的这家店，当时不知道锅盔是什么，感觉很新奇，想尝一尝味道，前面的人买了梅干菜饼，就觉得应该挺好吃的，我也买了梅干菜饼，真的没让人失望，尤其是刚做出来的，超级好吃，后来就经常去他家买，真的很好吃，作为爱吃面食的北方人，很合我的口味。 推荐：瘦肉锅盔 梅干菜 牛肉锅盔"")]",汉口路47号汉口路小区,"118.779209,32.053463",餐饮服务;餐饮相关场所;餐饮相关,13182947373;18651699663,5.0,4.4,,,
兰州拉面刀削面(汉口路店),20.0,3.8,3.8,3.8,3.9,139.0,"干切牛肉刀削面,烤羊肉串,兰州炒饭,羊肉炒刀削,牛肉炒拉面,新疆大盘鸡,牛肉烩面片,青椒牛肉盖浇面,青椒牛肉盖浇饭,葱爆牛肉盖浇面","{""味道赞: 25"", ""服务热情: 17"", ""性价比高: 11"", ""价格实惠: 8"", ""上菜快: 6"", ""主食赞: 5"", ""分量足: 4"", ""羊肉: 16"", ""午餐: 15"", ""弄堂小店: 4""}","[(""2025-05-22"", ""因为在附近上班 经常来吃这家兰州拉面🍜口味：牛肉刀削面很好吃 劲道十足 味道鲜美 里面的配菜很丰富哦 青菜🥬很好吃 肉🥩给的也分量足的 [薄荷] 环境：在南京大学旁边 周围交通方便 里面环境就是普通的面店环境 挺干净的 [服务铃] 服务：很热情性价比：高 [干切牛肉刀削面]""), (""2025-05-13"", ""和朋友一起来吃的，刚下过雨，吃点汤的，还暖和，面条煮的挺快的，点好没等多久就好了，感觉就是味道有点淡，问老板要了点盐，还不错，环境很干净，老板老板娘也很热情，店里面吃饭的人也挺多的，...""), (""2025-05-01"", ""生日这天过来吃碗长寿面，加了一个蛋和一份青菜，分量刚刚好，味道还不错，中规中矩，店铺在汉口路上离学校也比较近，服务也还可以，干拌的面会送一份汤汤面，不送汤，价格比一般的牛肉拉面店稍微贵一点，可能是因为地段的原因，也是附近经常来吃一家店。"")]",汉口路36号,"118.778811,32.053679",餐饮服务;中餐厅;清真菜馆,17327791285,21.0,4.5,09:00-21:00,周一至周日 09:00-21:00,"牛肉,烤串,拉面,牛肉拉面,炒面,羊肉串,刀削面"
张亮麻辣烫(南大店),28.0,3.8,3.8,3.8,3.7,136.0,"麻辣烫,娃娃菜,金针菇,如意福袋,肥牛卷,腐竹,黄金蛋饺,西兰花,鱼极芝士丸,菠菜","{""味道赞: 21"", ""食材新鲜: 17"", ""菜品健康: 14"", ""服务热情: 11"", ""环境很好: 11"", ""空间大: 10"", ""价格实惠: 9"", ""性价比高: 8"", ""朋友聚餐: 3"", ""店内消毒: 2""}","[(""2025-05-18"", ""在学校附近，所以偶尔会过来吃一吃。味道还可以，就是价格不便宜，不过也是所有连锁麻辣烫的通病了。""), (""2025-05-15"", ""喷香的麻辣烫🥘🥘🥘 直击味蕾，汤都是浓郁的香辣味！！！还有冰粉可以吃！十分推荐！""), (""2025-04-08"", ""学校门口的麻辣烫店，味道还行，性价比一般，偶尔想吃麻辣烫的时候就会去吃。"")]",汉口路36-1号,"118.778807,32.053661",餐饮服务;中餐厅;中餐厅,15139574656;18550102762,28.0,4.4,09:30-22:00,周一至周日 09:30-22:00,
老王馄饨,10.0,3.7,3.6,3.7,3.7,69.0,"老王骨汤馄饨,鱼丸馄饨,老王馄饨面","{""味道赞: 11"", ""服务热情: 10"", ""肉类好: 6"", ""口感赞: 6"", ""性价比高: 4"", ""分量足: 3"", ""价格实惠: 3"", ""午餐: 5"", ""早餐: 4"", ""空间小: 20""}","[(""2025-03-07"", ""还蛮不错啊 现包现煮 鸭血货真价实 小馄饨肉味很新鲜 南大出来早餐没有吃，热乎乎很满足 (｡･ω･｡)ﾉ♡""), (""2024-12-01"", ""这是附近鸭子店的老板推荐的馄饨店，我们两个人过来一起点了一份大粪的馄饨，上菜非常快，虽然店里面座位不多，但很快就能翻桌了啊，馄饨都味道很不错，汤很鲜甜，老板一家的服务态度也很好，而且价格实在是太划算了。""), (""2024-11-21"", ""前两天陪妈妈过去吃的馄饨，今天妈妈还想吃我就来搜索有没有外卖，居然看到这么多中评差评，真为老板叫屈。辣椒油是很地道的，妈妈是湖南人，这点假不了，肉馅汤底和家里口味差不多才是正常的啊，科技含量低。真心希望这种没有科技含量的店开的久一点。 推荐：老王骨汤馄饨"")]",汉口路32号,"118.778807,32.053661",餐饮服务;中餐厅;中餐厅,,9.0,4.3,06:30-20:30,周一至周日 06:30-20:30,
石锅房,20.0,4.0,4.0,3.7,3.8,359.0,"小菜,豆腐汤,滑鸡石锅拌饭,牛肉辛拉面,土豆,部队火锅,豆腐辛拉面,素菜石锅饭,五花肉石锅饭,肉松石锅饭","{""味道赞: 80"", ""主食赞: 38"", ""价格实惠: 24"", ""菜品不错: 23"", ""分量足: 9"", ""上菜快: 8"", ""牛肉赞: 3"", ""午餐: 39"", ""朋友聚餐: 4"", ""空间小: 47""}","[(""2025-05-08"", ""吧？！！唧一口价格呢。，，，！冷了吧！唧一口饭我们司机电的人多啊 mm 墨镜了有吗好了好了吗了吗你的是这个少钱了没事啊？姐姐姐姐你的那个可以 6🙊就你一个👀看看什么鬼的话题终结者永远是最好的人生清理员工餐馆藏着掖款有没有""), (""2025-05-07"", ""口味：[滑鸡石锅拌饭] [豆腐辛拉面] [牛肉辛拉面] [金枪鱼石锅饭] [芝心年糕炒辛拉面] [五花肉大酱汤] [炒夹心奶酪年糕] [泡菜水饺火锅] 饭 菜非常真的是还不错的，各种的石锅拌饭，吃的蛮香的、热腾腾的，吃起来特别带劲儿，分量来说还是可以的，并且肉的话也是度量的。""), (""2025-04-28"", ""[薄荷] 环境：首先他们家的店里环境装修的挺不错的，用餐环境很舒适，地方也很宽敞，他们家的交通也挺便利的 [服务铃] 服务：当然了，他们家的服务也还挺不错的 [口味]：口味上来说，因为本人很少去吃韩式料理，偶尔过去吃一下，觉得他们家的味道 [性价比]：确实挺好吃的他们家的部队火锅还有是新拉面，味道都挺不错的 [性价比]：然后就是他们家的性价比价格不是特别便宜"")]",汉口路32号,"118.778807,32.053661",餐饮服务;外国餐厅;韩国料理,13851543821,13.0,4.3,09:00-22:00,周一至周日 09:00-22:00,"滑鸡石锅拌饭,豆腐汤,牛肉石锅饭,五花肉套餐,炸酱面,素菜石锅拌饭,牛肉石锅,金枪鱼石锅饭,炒金指年糕,炒年糕拉面,滑鸡石锅,培根石锅,嫩豆腐汤,辛拉面,炒年糕,水煮花生,石锅拌饭"
